rank,name,year,rating,genre,certificate,run_time
227,The Incredibles,2004,8.0,"Animation,Action,Adventure",PG,1h 55m
228,To Be or Not to Be,1942,8.2,"Comedy,Romance,War",Passed,1h 39m
229,La haine,1995,8.1,"Crime,Drama",Not Rated,1h 38m
230,The Battle of Algiers,1966,8.1,"Drama,War",Not Rated,2h 1m
231,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,"Action,Adventure,Fantasy",PG-13,2h 23m
232,Hachi: A Dog's Tale,2009,8.1,"Biography,Drama,Family",G,1h 33m
233,The Grapes of Wrath,1940,8.1,Drama,Passed,2h 9m
234,Jai Bhim,2021,8.8,"Crime,Drama,Mystery",TV-MA,2h 44m
235,My Father and My Son,2005,8.2,"Drama,Family",Not Rated,1h 52m
236,Amores Perros,2000,8.1,"Drama,Thriller",R,2h 34m
237,Rebecca,1940,8.1,"Drama,Film-Noir,Mystery",Approved,2h 10m
238,Cool Hand Luke,1967,8.1,"Crime,Drama",GP,2h 7m
239,The Handmaiden,2016,8.1,"Drama,Romance,Thriller",Not Rated,2h 25m
240,The 400 Blows,1959,8.1,"Crime,Drama",Not Rated,1h 39m
241,The Sound of Music,1965,8.1,"Biography,Drama,Family",G,2h 52m
242,It Happened One Night,1934,8.1,"Comedy,Romance",Passed,1h 45m
243,Persona,1966,8.1,"Drama,Thriller",Not Rated,1h 23m
244,Life of Brian,1979,8.0,Comedy,R,1h 34m
245,The Iron Giant,1999,8.1,"Animation,Action,Adventure",PG,1h 26m
246,The Help,2011,8.1,Drama,PG-13,2h 26m
247,Dersu Uzala,1975,8.2,"Adventure,Biography,Drama",G,2h 22m
248,Aladdin,1992,8.0,"Animation,Adventure,Comedy",G,1h 30m
249,Gandhi,1982,8.0,"Biography,Drama,History",PG,3h 11m
250,Dances with Wolves,1990,8.0,"Adventure,Drama,Western",PG-13,3h 1m
